name,smiles,name_id,count
3-Oxotetradecanoyl-CoA,CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],3otdcoa_c,64
"2,3-Dioxo-L-gulonate",O=C([O-])C(=O)C(=O)[C@H](O)[C@@H](O)CO,23doguln_c,13
3-Phospho-D-glycerate,O=C(O)[C@H](O)COP(=O)(O)O,3pg_c,11
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,25aics_c,30
3-Phosphohydroxypyruvate,O=C(O)C(=O)COP(=O)(O)O,3php_c,11
5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C=C(O[C@@H]1CC(C(=O)O)=C[C@@H](OP(=O)(O)O)[C@H]1O)C(=O)O,3psme_c,21
"2,5-diketo-D-gluconate",O=C(O)C(=O)[C@@H](O)[C@H](O)C(=O)CO,25dkglcn_c,13
2-Isopropylmaleate,CC(C)/C(=C/C(=O)O)C(=O)O,2ippm_c,11
3-Sulfino-L-alanine,N[C@@H](CS(=O)O)C(=O)O,3sala_c,9
"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",Nc1nc(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(N)c(=O)[nH]1,25drapp_c,23
3  UMP C9H11N2O9P,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,3ump_e,21
2-keto-4-methylthiobutyrate,CSCCC(=O)C(=O)O,2kmb_c,9
